CROWNU,CROWN FEEDS (PVT) LTD.,,,,,,,,,,,,,,,,,
"",LANKA,,,,,,,BC,,,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,104.572,4,,
"",,,,,,,,,,,,,,,,,,
DELMOWA,DELMO CHICKEN & AGRO (PVT) LTD,,,,,,,,,,,,,,,,,
SSW099482,"480M COLOMBO, SRI 75",,70.698,3,07/15/22,08/31/22,6888112100,LOS,COLOMBO,SEATRADE,CMA CGM,0TUO8W1,0.000,0,70.698,3,09/03/22,10/10/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",PANAMA,MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,70.698,3,,
"",,,,,,,,,,,,,,,,,,
DELMOWA,DELMO CHICKEN & AGRO (PVT) LTD,,,,,,,,,,,,,,,,,
SSW099482B,"480M COLOMBO, SRI 50",,47.020,2,07/15/22,08/31/22,6888112100,LOS,COLOMBO,SEATRADE,CMA CGM,0TUO8W1,0.000,0,47.020,2,09/03/22,10/10/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",PANAMA,MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,47.020,2,,
"",,,,,,,,,,,,,,,,,,
MFFEEDT,M F FEED'S (PVT) LTD,,,,,,,,,,,,,,,,,
SSW099485,"480M COLOMBO, SRI 100",,104.382,4,06/15/22,07/15/22,6337717570,"VANCOUVER,",COLOMBO,GTRANS USA INC,COSCO ASIA,084S,0.000,0,104.382,4,07/28/22,10/05/22
"",LANKA,,,,,,,BC,,,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,104.382,4,,
"",,,,,,,,,,,,,,,,,,
SLAPCO,SWITZ LANKA (PVT) LTD,,,,,,,,,,,,,,,,,
SSW099489,"480M COLOMBO, SRI 100",,104.336,4,07/01/22,07/31/22,6337717570,"VANCOUVER,",COLOMBO,GTRANS USA INC,COSCO ASIA,084S,0.000,0,104.336,4,07/28/22,10/05/22
"",LANKA,,,,,,,BC,,,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,104.336,4,,
"",,,,,,,,,,,,,,,,,,
CFLASEE,CFL AGRO LANKA (PVT) LTD.,,,,,,,,,,,,,,,,,
SSW099499,"480M COLOMBO, SRI 125",,116.982,5,07/15/22,08/31/22,6888112110,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOCW,0.000,0,116.982,5,09/03/22,10/03/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",MEXICO,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,116.982,5,,
"",,,,,,,,,,,,,,,,,,
CFLASEE,CFL AGRO LANKA (PVT) LTD.,,,,,,,,,,,,,,,,,
SSW099644,"480M COLOMBO, SRI 100",,93.904,4,07/15/22,08/31/22,6887992650,LOS,COLOMBO,SEATRADE,CMA CGM,0TUNWW,0.000,0,23.406,1,08/23/22,09/27/22
"",,,,,,,6887992651,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOCW,0.000,0,70.498,3,09/03/22,10/10/22
"",,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",MEXICO,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,93.904,4,,
"",,,,,,,,,,,,,,,,,,
CFLASEE,CFL AGRO LANKA (PVT) LTD.,,,,,,,,,,,,,,,,,
SSW099644B,"480M COLOMBO, SRI 100",,93.713,4,07/15/22,08/31/22,6888916850,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOOW,0.000,0,93.713,4,09/24/22,10/17/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",CHILE,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,93.713,4,,
"",,,,,,,,,,,,,,,,,,
CFLASEE,CFL AGRO LANKA (PVT) LTD.,,,,,,,,,,,,,,,,,
SSW099644C,"480M COLOMBO, SRI 100",,93.677,4,07/15/22,08/31/22,6888916850,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOOW,0.000,0,93.677,4,09/24/22,10/17/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",CHILE,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,93.677,4,,
"",,,,,,,,,,,,,,,,,,
CFLASEE,CFL AGRO LANKA (PVT) LTD.,,,,,,,,,,,,,,,,,
SSW099644D,"480M COLOMBO, SRI 100",,104.038,4,07/15/22,08/31/22,6337714440,"SAVANNAH,G",COLOMBO,GTRANS USA INC,COSCO,033N,0.000,0,104.038,4,09/11/22,10/24/22
"",LANKA,,,,,,,A,,,SHIPPING,,,,,,,
"",,,,,,,,,,,HIMALAYAS,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,104.038,4,,
"",,,,,,,,,,,,,,,,,,
NENUKI,NEVIL NUTRI FEEDS (PVT) LIMITED,,,,,,,,,,,,,,,,,
SSW099650,"480M COLOMBO, SRI 100",,103.956,4,07/15/22,08/31/22,6338207010,PRINCE,COLOMBO,SEATRADE,XIN RI ZHAO,338W,0.000,0,103.956,4,07/27/22,09/27/22
"",LANKA,,,,,,,"RUPERT,BC",,"INTERNATIONAL,",,,,,,,,
"",,,,,,,,CANADA,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,103.956,4,,
"",,,,,,,,,,,,,,,,,,
NENUKI,NEVIL NUTRI FEEDS (PVT) LIMITED,,,,,,,,,,,,,,,,,
SSW099651,"480M COLOMBO, SRI 100",,103.964,4,07/15/22,08/31/22,6888152930,PRINCE,COLOMBO,SEATRADE,XIN NAN,439S,0.000,0,103.964,4,08/26/22,10/18/22
"",LANKA,,,,,,,"RUPERT,BC",,"INTERNATIONAL,",TONG,,,,,,,
"",,,,,,,,CANADA,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,103.964,4,,
"",,,,,,,,,,,,,,,,,,
MFFEEDT,M F FEED'S (PVT) LTD,,,,,,,,,,,,,,,,,
