"CROWN FEEDS (PVT) LTD.DIST COLOMBO, SRILANKA",CROWNUSEW100824,120,115.422,5,07/15/22,"LONGBEACH,CA",COLOMBO,GTRANS USA INC,COSCOKAOHSIUNG,089W,0.000,0,91.935,4,08/13/22,10/13/22
"CROWN FEEDS (PVT) LTD.DIST COLOMBO, SRILANKA",CROWNUSEW100824,120,115.422,5,07/15/22,"LONGBEACH,CA",COLOMBO,GTRANS USA INC,COSCOAMERICA,077W,0.000,0,23.487,1,08/24/22,10/14/22
