name,serial_No,CAK_MT_WT,MT_Applied_1,No_Boxes,Begin_Sail,Load_port,Bkg_Dest_Port,Carrier,Voyage_Name,Voyage_No,Est_MT_WT,Est_No_Boxes,MT_Applied,Applied_No_Boxes,Shipped_Date,Arrival_Date
"SVS ENTERPRISES480M COLOMBO, SRILANKA",SVSECOSSW094275,300,286.230,11,04/01/22,"SAVANNAH,GA",COLOMBO,"SEATRADEINTERNATIONAL,INC.",COSCOTAICANG,082N,0.000,0,26.245,1,08/17/22,10/07/22
"SVS ENTERPRISES480M COLOMBO, SRILANKA",SVSECOSSW094275,300,286.230,11,04/01/22,"PRINCERUPERT,BCCANADA",COLOMBO,"SEATRADEINTERNATIONAL,INC.",XIN YING KOU,216W,0.000,0,259.985,10,08/15/22,10/13/22
