name,serial_No,CAK_MT_WT,MT_Applied_1,No_Boxes,Begin_Sail,Load_port,Bkg_Dest_Port,Carrier,Voyage_Name,Voyage_No,Est_MT_WT,Est_No_Boxes,MT_Applied,Applied_No_Boxes,Shipped_Date,Arrival_Date
"AGRO NUTRITION (PVT) LIMITED480M COLOMBO, SRILANKA",AGROWASSW104030,50,46.811,2,08/15/22,"LOSANGELES, CA",COLOMBO,"SEATRADEINTERNATIONAL,INC.",CMA CGMCHILE,0TUOOW1MA,0.000,0,23.387,1,09/24/22,10/17/22
"AGRO NUTRITION (PVT) LIMITED480M COLOMBO, SRILANKA",AGROWASSW104030,50,46.811,2,08/15/22,"LOSANGELES, CA",COLOMBO,"SEATRADEINTERNATIONAL,INC.",CMA CGM A.LINCOLN,0TUOSW1MA,0.000,0,23.424,1,10/03/22,11/07/22
