name,serial_No,CAK_MT_WT,MT_Applied_1,No_Boxes,Begin_Sail,Load_port,Bkg_Dest_Port,Carrier,Voyage_Name,Voyage_No,Est_MT_WT,Est_No_Boxes,MT_Applied,Applied_No_Boxes,Shipped_Date,Arrival_Date
"CROWN FEEDS (PVT) LTD.DIST COLOMBO, SRILANKA",CROWNUSEW100824,120,115.422,5,07/15/22,"LONGBEACH,CA",COLOMBO,GTRANS USA INC,COSCOKAOHSIUNG,089W,0.000,0,91.935,4,08/13/22,10/13/22
"CROWN FEEDS (PVT) LTD.DIST COLOMBO, SRILANKA",CROWNUSEW100824,120,115.422,5,07/15/22,"LONGBEACH,CA",COLOMBO,GTRANS USA INC,COSCOAMERICA,077W,0.000,0,23.487,1,08/24/22,10/14/22
