name,serial_No,CAK_MT_WT,MT_Applied_1,No_Boxes,Begin_Sail,Load_port,Bkg_Dest_Port,Carrier,Voyage_Name,Voyage_No,Est_MT_WT,Est_No_Boxes,MT_Applied,Applied_No_Boxes,Shipped_Date,Arrival_Date
"CFL AGRO LANKA (PVT) LTD.480M COLOMBO, SRI 100",CFLASEESSW099644,,93.904,4,07/15/22,LOS,COLOMBO,SEATRADE,CMA CGM,0TUNWW,0.000,0,23.406,1,08/23/22,09/27/22
"CFL AGRO LANKA (PVT) LTD.480M COLOMBO, SRI 100",CFLASEESSW099644,,93.904,4,07/15/22,"LOSANGELES, CA",COLOMBO,"SEATRADEINTERNATIONAL,INC.",CMA CGMMEXICO,0TUOCW1MA,0.000,0,70.498,3,09/03/22,10/10/22
