"M F FEED'S (PVT) LTD480M COLOMBO, SRILANKA",MFFEEDTSSW092863F,100,104.028,4,04/01/22,"VANCOUVER,BC",COLOMBO,GTRANS USA INC,COSCO ASIA,084S,0.000,0,51.973,2,07/28/22,10/05/22
"M F FEED'S (PVT) LTD480M COLOMBO, SRILANKA",MFFEEDTSSW092863F,100,104.028,4,04/01/22,"PRINCERUPERT,BCCANADA",COLOMBO,"SEATRADEINTERNATIONAL,INC.",XIN RI ZHAO,338W,0.000,0,52.055,2,07/27/22,09/27/22
