name,serial_No,CAK_MT_WT,MT_Applied_1,No_Boxes,Begin_Sail,Load_port,Bkg_Dest_Port,Carrier,Voyage_Name,Voyage_No,Est_MT_WT,Est_No_Boxes,MT_Applied,Applied_No_Boxes,Shipped_Date,Arrival_Date
"NOMANBHOY & SONS PTE. LTD.480M COLOMBO, SRILANKA",NOMANSISSW100308,500,469.539,20,07/15/22,"LOSANGELES, CA",COLOMBO,"SEATRADEINTERNATIONAL,INC.",CMA CGMPANAMA,0TUO8W1MA,0.000,0,70.281,3,08/23/22,09/26/22
"NOMANBHOY & SONS PTE. LTD.480M COLOMBO, SRILANKA",NOMANSISSW100308,500,469.539,20,07/15/22,"LOSANGELES, CA",COLOMBO,"SEATRADEINTERNATIONAL,INC.",CMA CGMMEXICO,0TUOCW1MA,0.000,0,117.155,5,09/03/22,10/03/22
